,user_name,user_description,tweets,label,date
9568,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt topic here helicopter fly mar ingenuity helicopter inspires future flight mar mar report april,positiv,2023-04-24 13:43:50+00:00
9598,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt anthropic anthropic cofounder daniela amodei plan turn trust safety feature bug,positiv,2023-04-24 13:33:36+00:00
9606,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt anthropic risk grows anthropic call nist funding boost this year ambitious,neutral,2023-04-24 13:30:59+00:00
9627,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai coding hacking autogpt autogpt unveiled autonomous gpt new ability better,negativ,2023-04-24 13:26:17+00:00
9634,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai coding hacking autogpt setup autogpt autonomous gpt,negativ,2023-04-24 13:25:08+00:00
9639,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt hype grows autonomous agent loop gpt output autogpt babyagi run gpt agent complete complex task iteratively,negativ,2023-04-24 13:23:10+00:00
9646,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt repost vid showing autogpt agent collaboratively impressive,neutral,2023-04-24 13:21:38+00:00
9648,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt microsoft building codename athena chip tsmcs node new chip cost microsoft million and cut company cost much,neutral,2023-04-24 13:20:43+00:00
9656,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt man us midjourney chatgpt resurrect dead grandmother,neutral,2023-04-24 13:20:01+00:00
9659,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt here autonomous agent taking internet,negativ,2023-04-24 13:19:17+00:00
9666,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt access gpt free forefront chat developed usbased startup offer instant response,neutral,2023-04-24 13:17:41+00:00
9673,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt solve different task easy complex wow section best,neutral,2023-04-24 13:16:42+00:00
9680,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt langchain framework developing application powered language model langchain introduction getting started handbook,negativ,2023-04-24 13:15:08+00:00
9687,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,like meet person month join outperform pro denver dnn genai llm outperform prosai airline aviation travel chatgpt generativeai,positiv,2023-04-24 13:13:14+00:00
9690,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt gpt started revolution autogpt expanded autogpt understanding constraint limitation,negativ,2023-04-24 13:12:38+00:00
9698,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt exploring incredible capability autogpt impressive example usage,neutral,2023-04-24 13:09:29+00:00
9708,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt revolutionizing natural language processing autogpt stateoftheart language model,negativ,2023-04-24 13:06:55+00:00
9731,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt merlin chatgpt powered chrome extension,neutral,2023-04-24 13:02:18+00:00
9765,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt selfimprove scary,negativ,2023-04-24 12:58:05+00:00
9814,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt significantgravitasautogpt,negativ,2023-04-24 12:45:24+00:00
9838,sheldon campbell phd,christian husband father pastor consultant author maximizing technology guide chatgpt ai improve society,tip know chatgpt critique work impersonate expert like albert einstein tailored feedback improve content follow daily tip sheldondailytip chatgpt,neutral,2023-04-24 12:37:06+00:00
9979,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt build autogpt apps langchain python tutorial,neutral,2023-04-24 11:49:53+00:00
10003,wesley fryer phd wfryermastodoncloud,love empowering creatively share voice medium cook too cookwithwes edtechsr wsshare create learn medialit storychasers,prescient essay georgeorwell you atomic bomb important connection evolution agi chatgpt via erikhoel wonderlink history edtechsr,positiv,2023-04-24 11:42:10+00:00
10010,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt chatgpt differ need know,negativ,2023-04-24 11:37:33+00:00
10022,wesley fryer phd wfryermastodoncloud,love empowering creatively share voice medium cook too cookwithwes edtechsr wsshare create learn medialit storychasers,morning commute podcast erik hoel threat humanity econtalk chatgpt edtechsr,positiv,2023-04-24 11:34:20+00:00
10026,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt website selling autogpt service,negativ,2023-04-24 11:33:28+00:00
10040,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt interesting twitter thread summarize autogpt,neutral,2023-04-24 11:27:59+00:00
10044,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt matter,negativ,2023-04-24 11:26:09+00:00
10060,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt babyagi new hotness suck right bot perform series task own,negativ,2023-04-24 11:16:49+00:00
10303,berci mesk phd,director medical futurist institute science fiction fanatic health tracker mission bring future technology healthcare digitalhealth,gpt time better chatgpt already it time discus bring table medicine healthcare expect future iteration,neutral,2023-04-24 09:30:17+00:00
10417,marian siwiak phd,friendly neighborhood data guy coauthor data mesh action manning cohost between data risk podcast,chatgpt improve collaboration team,negativ,2023-04-24 08:35:59+00:00
10817,john loewen phd comp sci,year university professor expat italy thailand myanmar runner writes tech pythonaidataviz travel expat life education fitness,who knew supercharge data visualization creation thanks chatgpts prompt engineering ive productive python dash prompt engineered foliumdash visualization scratch minute experience,positiv,2023-04-24 05:49:21+00:00
10960,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,like meet person month join outperform pro denver dnn genai llm outperform prosai airline aviation travel chatgpt generativeai,positiv,2023-04-24 04:13:13+00:00
11117,ronald coyle phd,adjunct professor trident university intl nielsen research analyst army veteran fantasy baseball data geek,chatgpt prediction digital marketing point ai usefulness data analysis gregjarboe sejournal marketing marketingtwitter marketinginsights chatgpt artificialintelligence,positiv,2023-04-24 02:31:00+00:00
11167,sheldon campbell phd,christian husband father pastor consultant author maximizing technology guide chatgpt ai improve society,human input invaluable crosschecking information accuracy diving bard newbing amp chatgpt answer question specialized field compare response artificialintelligence knowledgesharing futureofresearch,neutral,2023-04-24 01:49:54+00:00
11384,jakub vka phd,assistant research professor uscprice schaeffercenter economics aging privacy innovation national security bruckner mahler fan,gpt detector biased nonnative english writer chatgpt gpt gpt,negativ,2023-04-24 10:26:21+00:00
11475,mbaye babacar phd,data artificial intelligence architect microsoft open discussion anytime love data challenge,chatgpt gpt bingchat autogpt advancing faster should reconsider idea pause elon musk had gpt bingchat autogpt,positiv,2023-04-25 09:59:57+00:00
11522,john loewen phd comp sci,year university professor expat italy thailand myanmar runner writes tech pythonaidataviz travel expat life education fitness,cant believe difference chatgpt come writing python code gpt increased library knowledge make worth particularly dataviz it like having coding mentor thought gpt python,positiv,2023-04-25 04:51:52+00:00
11719,bora erdemli phd,medical affair practice lead europe zsassociates cofounder phd consulting,developed openai amp microsoft gpt constantly evolving application extending medical documentation data interoperability diagnosis research education continues advance expect greater breakthrough healthcare gpt,negativ,2023-04-24 11:39:30+00:00
11875,daniel bastardo blanco phd,manager togetherbystjude stjuderesearch aaasmassmedia discovermag love country venezuela city memphis view,list great owenmcguire carlosgilblanco check out chatgpt,positiv,2023-04-23 23:21:35+00:00
12118,sheldon campbell phd,christian husband father pastor consultant author maximizing technology guide chatgpt ai improve society,tip know chatgpt grade content schoolwork improve writing quality discovering it follow daily tip sheldondailytip chatgpt,positiv,2023-04-23 20:31:45+00:00
12203,phdnotpad,phd share best academia success key happiness happiness key success love doing successful,unlock potential chatgpt webchatgpt extension access latest information internet previously available chatbot academictwitter phdnotpad,positiv,2023-04-23 19:33:53+00:00
12250,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,like meet person month join outperform pro denver dnn genai llm outperform prosai airline aviation travel chatgpt generativeai,positiv,2023-04-23 19:13:13+00:00
12372,ariella brown phd content marketing expert,spin data engaging story wordclass content convert check not typo contentmarketing tech jlm,wanna prompt engineer realize financial institution block chatgpt run afoul gdpr standard barred european country altogether it think about read mit technology revi,positiv,2023-04-23 18:19:46+00:00
12419,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt langchain explained minute quickstart tutorial beginner,neutral,2023-04-23 18:00:16+00:00
12438,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt langchain langchain chatgpt overview,negativ,2023-04-23 17:51:50+00:00
12446,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt langchain framework developing application powered language model langchain introduction getting started handbook,negativ,2023-04-23 17:49:27+00:00
12850,shantha mohan phd dtm,software engg leader mentor leadership lesson beatles share leadership insight story woman engineer music flora,interesting example gender bias chatgpt ndyjroo twitter say chatgpt tie knot avoid having professor female generativeai genderbias,neutral,2023-04-23 14:29:49+00:00
12888,blaine pope phd,biz prof csunorthridge energy climate africa swahili warzones judo alum ucberkeley columbiasipa fieldinggradu heraclivs,chatgpt,negativ,2023-04-23 14:08:07+00:00
12985,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt presidential candidate warns destroy america remains decade curve idiotic statement like dangerous,positiv,2023-04-23 13:11:22+00:00
12993,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt gate say chatbots teach kid read month you stunned help few maybe know chatgpt,positiv,2023-04-23 13:07:17+00:00
13057,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt repost vid showing autogpt agent collaboratively impressive,neutral,2023-04-23 12:31:10+00:00
13062,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt demis hassabis headup googledeepmind,negativ,2023-04-23 12:29:09+00:00
13066,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt nvidia tesla elon musk creates startup called openais chatgpt,positiv,2023-04-23 12:27:29+00:00
13067,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt inside story chatgpt astonishing potential greg brockman openai ted,neutral,2023-04-23 12:26:34+00:00
13069,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt microsoft building codename athena chip tsmcs node new chip cost microsoft million and cut company cost much,neutral,2023-04-23 12:24:34+00:00
13075,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt man us midjourney chatgpt resurrect dead grandmother,neutral,2023-04-23 12:23:36+00:00
13078,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt artificial brain synapsis amp neuromorphic computing open hardware frontier true agi require neuromorphicphotonic cmos multifunctional chip,neutral,2023-04-23 12:22:52+00:00
13079,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt nvidia dilemma march dynamic detailed discussion possible issue advanced emergent property associated danger,positiv,2023-04-23 12:21:41+00:00
13081,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt here autonomous agent taking internet,negativ,2023-04-23 12:20:47+00:00
13083,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt access gpt free forefront chat developed usbased startup offer instant response,neutral,2023-04-23 12:19:35+00:00
13085,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogptelon musk truthgpt rival openai deepmind dont expect achieve short year development gpt,positiv,2023-04-23 12:18:30+00:00
13088,anthony hadfield phd,studied compsci vision python coder follow nvidia microsoft google tesla deepmind openai generative gpt autogpt,gpt chatgpt openai artificialintelligence generativeai microsoft google autogpt autogpt solve different task easy complex wow section best,neutral,2023-04-23 12:16:57+00:00
13241,marian siwiak phd,friendly neighborhood data guy coauthor data mesh action manning cohost between data risk podcast,chatgpt help business grow uncover aiassisted data analysis identify opportunity drive company growth businessgrowth,neutral,2023-04-23 10:30:59+00:00
13254,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,like meet person month join outperform pro denver dnn genai llm outperform prosai airline aviation travel chatgpt generativeai,positiv,2023-04-23 10:13:13+00:00
13857,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,like meet person month join outperform pro denver dnn genai llm outperform prosai airline aviation travel chatgpt generativeai,positiv,2023-04-23 01:13:14+00:00
14477,sabih jibaraphd,smile cost worth million mesopotamia enthusiast,google new magi take industry storm now announced youtube chatgpt robot magi,negativ,2023-04-22 20:17:44+00:00
14921,sheldon campbell phd,christian husband father pastor consultant author maximizing technology guide chatgpt ai improve society,ready learn transforming world new book maximizing technology explores impact seven sphere society let leverage positive change watch share favourite aitips comment below newbook sevenspheres chatgpt,positiv,2023-04-22 16:21:01+00:00
14930,alison doughty phd,building excitement innovation health pharma community follow news story education,love chatgpt metaverse hate latest emerging tech need watch incredible presentation futurist amy webb sxsw,negativ,2023-04-22 16:17:55+00:00
14942,michael phd,chief strategist pro senior research fellow data scientist ecole de ponts business school advisor lecturer ucbx behavioral economics,like meet person month join outperform pro denver dnn genai llm outperform prosai airline aviation travel chatgpt generativeai,positiv,2023-04-22 16:13:13+00:00
