,0
473,confusion
474,confusion
475,approval
476,admiration
477,neutral
478,curiosity
479,admiration
480,admiration
481,neutral
482,admiration
483,amusement
484,confusion
485,curiosity
486,neutral
487,curiosity
488,admiration
489,realization
490,neutral
491,approval
492,approval
493,neutral
494,admiration
495,admiration
496,neutral
497,neutral
498,neutral
499,neutral
500,admiration
501,realization
502,confusion
503,approval
504,amusement
505,approval
506,curiosity
507,surprise
508,neutral
509,neutral
510,approval
511,curiosity
512,approval
513,approval
514,approval
515,neutral
516,neutral
517,neutral
518,disapproval
519,approval
520,neutral
521,admiration
522,approval
523,neutral
524,neutral
525,neutral
526,admiration
527,admiration
528,admiration
529,curiosity
530,neutral
531,neutral
532,admiration
533,realization
534,realization
535,confusion
536,admiration
537,neutral
538,admiration
539,surprise
540,approval
541,neutral
542,neutral
543,neutral
544,neutral
545,neutral
546,amusement
547,neutral
548,realization
549,optimism
550,neutral
551,curiosity
552,realization
553,confusion
554,approval
555,realization
556,approval
557,curiosity
558,neutral
559,curiosity
560,annoyance
561,neutral
562,curiosity
563,curiosity
564,curiosity
565,admiration
566,excitement
567,gratitude
568,approval
569,approval
570,curiosity
571,approval
572,neutral
573,admiration
574,annoyance
575,surprise
576,neutral
577,neutral
578,admiration
579,neutral
580,admiration
581,neutral
582,confusion
583,realization
584,admiration
585,neutral
586,neutral
587,admiration
588,love
589,curiosity
590,curiosity
591,neutral
592,neutral
593,neutral
594,neutral
595,admiration
596,surprise
597,neutral
598,curiosity
599,approval
600,neutral
601,realization
602,neutral
603,neutral
604,curiosity
605,neutral
606,neutral
607,neutral
608,curiosity
609,grief
610,admiration
611,grief
612,caring
613,neutral
614,joy
615,joy
616,surprise
617,amusement
618,neutral
619,curiosity
620,neutral
621,neutral
622,neutral
623,excitement
624,excitement
625,surprise
626,joy
627,admiration
628,admiration
629,approval
630,neutral
631,neutral
632,neutral
633,disapproval
634,approval
635,neutral
636,neutral
637,neutral
638,surprise
639,curiosity
640,admiration
641,approval
642,neutral
643,neutral
644,realization
645,neutral
646,curiosity
647,fear
648,neutral
649,approval
650,annoyance
651,amusement
652,neutral
653,disapproval
654,realization
655,neutral
656,admiration
657,realization
658,neutral
659,neutral
660,joy
661,gratitude
662,amusement
663,neutral
664,love
665,admiration
666,fear
667,neutral
668,caring
669,neutral
670,realization
671,realization
672,approval
673,approval
674,surprise
675,neutral
676,approval
677,neutral
678,neutral
679,neutral
680,love
681,approval
682,neutral
683,neutral
684,neutral
685,curiosity
686,approval
687,approval
688,neutral
689,confusion
690,neutral
691,disapproval
692,curiosity
693,curiosity
694,curiosity
695,gratitude
696,neutral
697,neutral
698,curiosity
699,curiosity
700,surprise
701,approval
702,realization
703,surprise
704,surprise
705,disapproval
706,curiosity
707,joy
708,joy
709,neutral
710,amusement
711,love
712,love
713,love
714,disappointment
715,amusement
716,approval
717,admiration
718,neutral
719,neutral
720,admiration
721,neutral
722,surprise
723,neutral
724,curiosity
725,neutral
726,neutral
727,neutral
728,realization
729,admiration
730,neutral
731,disappointment
732,admiration
733,disapproval
734,admiration
735,realization
736,neutral
737,curiosity
738,admiration
739,neutral
740,approval
741,curiosity
742,neutral
743,admiration
744,fear
745,amusement
746,admiration
747,curiosity
748,neutral
749,realization
750,admiration
751,neutral
752,neutral
753,approval
754,admiration
755,realization
756,neutral
757,gratitude
758,annoyance
759,neutral
760,curiosity
761,admiration
762,curiosity
763,realization
764,approval
765,realization
766,neutral
767,surprise
768,neutral
769,neutral
770,neutral
771,sadness
772,optimism
773,neutral
774,approval
775,neutral
776,approval
777,realization
778,approval
779,surprise
780,excitement
781,admiration
782,neutral
783,admiration
784,caring
785,gratitude
786,curiosity
787,admiration
788,disappointment
789,gratitude
790,approval
791,curiosity
792,remorse
793,admiration
794,admiration
795,optimism
796,realization
797,confusion
798,love
799,excitement
800,gratitude
801,neutral
802,approval
803,neutral
804,admiration
805,realization
806,admiration
807,approval
808,neutral
809,neutral
810,surprise
811,neutral
812,admiration
813,neutral
814,admiration
815,neutral
816,approval
817,admiration
818,curiosity
819,admiration
820,approval
821,approval
822,admiration
823,neutral
824,optimism
825,admiration
826,surprise
827,neutral
828,gratitude
829,admiration
830,neutral
831,curiosity
832,neutral
833,curiosity
834,confusion
835,realization
836,gratitude
837,caring
838,approval
839,admiration
840,love
841,excitement
842,neutral
843,realization
844,amusement
845,realization
846,approval
847,admiration
848,amusement
849,neutral
850,joy
851,realization
852,realization
853,disapproval
854,approval
855,admiration
856,curiosity
857,neutral
858,neutral
859,admiration
860,curiosity
861,joy
862,annoyance
863,fear
864,realization
865,neutral
866,neutral
867,realization
868,fear
869,joy
870,curiosity
871,optimism
872,neutral
873,neutral
874,curiosity
875,annoyance
876,neutral
877,neutral
878,neutral
879,curiosity
880,neutral
881,neutral
882,neutral
883,neutral
884,realization
885,neutral
886,curiosity
887,neutral
888,admiration
889,admiration
890,approval
891,amusement
892,surprise
893,neutral
894,neutral
895,curiosity
896,joy
897,fear
898,neutral
899,neutral
900,approval
901,admiration
902,neutral
903,fear
904,neutral
905,curiosity
906,surprise
907,approval
908,neutral
909,realization
910,joy
911,realization
912,amusement
913,embarrassment
914,neutral
915,neutral
916,curiosity
917,joy
918,neutral
919,admiration
920,neutral
921,neutral
922,neutral
923,amusement
924,joy
925,realization
926,curiosity
927,admiration
928,neutral
929,admiration
930,curiosity
931,neutral
932,neutral
933,neutral
934,neutral
935,admiration
936,joy
937,admiration
938,neutral
939,neutral
940,approval
941,neutral
942,neutral
943,neutral
944,neutral
945,neutral
946,neutral
947,neutral
948,neutral
949,confusion
950,neutral
951,realization
952,neutral
953,realization
954,admiration
955,neutral
956,admiration
957,fear
958,approval
959,neutral
960,approval
961,disapproval
962,love
963,neutral
964,joy
965,approval
966,neutral
967,excitement
968,admiration
969,neutral
970,admiration
971,approval
972,admiration
973,admiration
974,neutral
975,neutral
976,realization
977,excitement
978,admiration
979,admiration
980,optimism
981,joy
982,annoyance
983,realization
984,amusement
985,neutral
986,curiosity
987,neutral
988,neutral
989,neutral
990,neutral
991,realization
992,neutral
993,neutral
994,curiosity
995,curiosity
996,approval
997,neutral
998,realization
999,neutral
1000,neutral
1001,neutral
1002,surprise
1003,neutral
1004,confusion
1005,neutral
1006,disapproval
1007,approval
1008,neutral
1009,approval
1010,neutral
1011,neutral
1012,neutral
1013,admiration
1014,admiration
1015,neutral
1016,optimism
1017,caring
1018,neutral
1019,neutral
1020,realization
1021,neutral
1022,fear
1023,neutral
1024,neutral
1025,disappointment
1026,neutral
1027,admiration
1028,joy
1029,admiration
1030,amusement
1031,neutral
1032,surprise
1033,neutral
1034,excitement
1035,neutral
1036,neutral
1037,neutral
1038,approval
1039,neutral
1040,realization
1041,realization
1042,joy
1043,approval
1044,admiration
1045,realization
1046,neutral
1047,neutral
1048,neutral
1049,neutral
1050,curiosity
1051,realization
1052,confusion
1053,admiration
1054,joy
1055,surprise
1056,admiration
1057,neutral
1058,excitement
1059,neutral
1060,neutral
1061,realization
1062,surprise
1063,neutral
1064,neutral
1065,curiosity
1066,approval
1067,neutral
1068,neutral
1069,joy
1070,gratitude
1071,admiration
1072,admiration
1073,surprise
1074,approval
1075,admiration
1076,curiosity
1077,neutral
1078,curiosity
1079,neutral
1080,curiosity
1081,neutral
1082,neutral
1083,neutral
1084,admiration
1085,neutral
1086,neutral
1087,excitement
1088,neutral
1089,surprise
1090,confusion
1091,neutral
1092,fear
1093,joy
1094,neutral
1095,neutral
1096,curiosity
1097,admiration
1098,neutral
1099,curiosity
1100,approval
1101,approval
1102,admiration
1103,neutral
1104,curiosity
1105,realization
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,neutral
1111,neutral
1112,neutral
1113,neutral
1114,neutral
1115,neutral
1116,neutral
1117,neutral
1118,curiosity
1119,admiration
1120,neutral
1121,neutral
1122,neutral
1123,joy
1124,realization
1125,approval
1126,neutral
1127,neutral
1128,surprise
1129,curiosity
1130,caring
1131,confusion
1132,neutral
1133,neutral
1134,approval
1135,love
1136,gratitude
1137,neutral
1138,admiration
1139,approval
1140,neutral
1141,realization
1142,surprise
1143,confusion
1144,neutral
1145,surprise
1146,neutral
1147,excitement
1148,neutral
1149,admiration
1150,approval
1151,neutral
1152,admiration
1153,admiration
1154,admiration
1155,neutral
1156,neutral
1157,neutral
1158,neutral
1159,admiration
1160,optimism
1161,admiration
1162,neutral
1163,neutral
1164,gratitude
1165,realization
1166,annoyance
1167,neutral
1168,neutral
1169,neutral
1170,neutral
1171,approval
1172,approval
1173,curiosity
1174,excitement
1175,neutral
1176,neutral
1177,neutral
1178,neutral
1179,neutral
1180,admiration
1181,curiosity
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,excitement
1187,neutral
1188,admiration
1189,realization
1190,disapproval
1191,neutral
1192,admiration
1193,neutral
1194,excitement
1195,caring
1196,surprise
1197,fear
1198,admiration
1199,neutral
1200,caring
1201,curiosity
1202,curiosity
1203,gratitude
1204,neutral
1205,excitement
1206,disapproval
1207,excitement
1208,neutral
1209,realization
1210,optimism
1211,admiration
1212,neutral
1213,neutral
1214,neutral
1215,gratitude
1216,admiration
1217,admiration
1218,admiration
1219,neutral
1220,approval
1221,annoyance
1222,admiration
1223,neutral
1224,annoyance
1225,annoyance
1226,curiosity
1227,neutral
1228,admiration
1229,admiration
1230,neutral
1231,approval
1232,admiration
1233,confusion
1234,caring
1235,joy
1236,excitement
1237,excitement
1238,neutral
1239,optimism
1240,disapproval
1241,amusement
1242,surprise
1243,neutral
1244,excitement
1245,neutral
1246,neutral
1247,realization
1248,curiosity
1249,fear
1250,neutral
1251,surprise
1252,neutral
1253,neutral
1254,surprise
1255,approval
1256,neutral
1257,curiosity
1258,neutral
1259,neutral
1260,approval
1261,admiration
1262,admiration
1263,neutral
1264,neutral
1265,love
1266,neutral
1267,neutral
1268,curiosity
1269,confusion
1270,neutral
1271,neutral
1272,amusement
1273,realization
1274,neutral
1275,curiosity
1276,neutral
1277,approval
1278,fear
1279,neutral
1280,confusion
1281,gratitude
1282,approval
1283,gratitude
1284,surprise
1285,curiosity
1286,admiration
1287,neutral
1288,curiosity
1289,caring
1290,neutral
1291,admiration
1292,curiosity
1293,neutral
1294,neutral
1295,curiosity
1296,curiosity
1297,neutral
1298,approval
1299,neutral
1300,neutral
1301,realization
1302,neutral
1303,disapproval
1304,neutral
1305,admiration
1306,curiosity
1307,optimism
1308,surprise
1309,realization
1310,curiosity
1311,neutral
1312,curiosity
1313,neutral
1314,neutral
1315,approval
1316,amusement
1317,neutral
1318,excitement
1319,admiration
1320,admiration
1321,neutral
1322,admiration
1323,approval
1324,neutral
1325,excitement
1326,admiration
1327,neutral
1328,approval
1329,admiration
1330,curiosity
1331,neutral
1332,admiration
1333,admiration
1334,approval
1335,disapproval
1336,neutral
1337,admiration
1338,confusion
1339,neutral
1340,admiration
1341,approval
1342,surprise
1343,neutral
1344,admiration
1345,neutral
1346,surprise
1347,neutral
1348,neutral
1349,neutral
1350,neutral
1351,neutral
1352,neutral
1353,admiration
1354,neutral
1355,neutral
1356,neutral
1357,desire
1358,admiration
1359,realization
1360,neutral
1361,neutral
1362,amusement
1363,curiosity
1364,gratitude
1365,confusion
1366,admiration
1367,approval
1368,neutral
1369,approval
1370,neutral
1371,neutral
1372,approval
1373,neutral
1374,love
1375,neutral
1376,neutral
1377,surprise
1378,admiration
1379,approval
1380,annoyance
1381,admiration
1382,disapproval
1383,approval
1384,neutral
1385,neutral
1386,realization
1387,neutral
1388,amusement
1389,neutral
1390,neutral
1391,neutral
1392,disapproval
1393,gratitude
1394,admiration
1395,realization
1396,neutral
1397,neutral
1398,caring
1399,neutral
1400,neutral
1401,curiosity
1402,joy
1403,optimism
1404,neutral
1405,disapproval
1406,admiration
1407,admiration
1408,realization
1409,fear
1410,amusement
1411,neutral
1412,surprise
1413,realization
1414,confusion
1415,amusement
1416,neutral
1417,admiration
1418,admiration
1419,fear
1420,love
1421,curiosity
1422,neutral
1423,approval
1424,approval
1425,excitement
1426,admiration
1427,disapproval
1428,neutral
1429,admiration
1430,neutral
1431,fear
1432,curiosity
1433,admiration
1434,joy
1435,joy
1436,admiration
1437,neutral
1438,approval
1439,neutral
1440,neutral
1441,curiosity
1442,neutral
1443,approval
1444,neutral
1445,neutral
1446,neutral
1447,admiration
1448,curiosity
1449,amusement
1450,admiration
1451,neutral
1452,neutral
1453,neutral
1454,realization
1455,admiration
1456,neutral
1457,caring
1458,caring
1459,surprise
1460,neutral
1461,neutral
1462,neutral
1463,neutral
1464,neutral
1465,excitement
1466,disgust
1467,neutral
1468,curiosity
1469,approval
1470,approval
1471,excitement
1472,curiosity
1473,admiration
1474,neutral
1475,approval
1476,curiosity
1477,neutral
1478,neutral
1479,neutral
1480,neutral
1481,neutral
1482,curiosity
1483,neutral
1484,joy
1485,neutral
1486,amusement
1487,neutral
1488,neutral
1489,neutral
1490,gratitude
1491,neutral
1492,neutral
1493,curiosity
1494,realization
1495,joy
1496,realization
1497,curiosity
1498,admiration
1499,admiration
1500,neutral
1501,joy
1502,love
1503,admiration
1504,neutral
1505,neutral
1506,desire
1507,neutral
1508,neutral
1509,neutral
1510,neutral
1511,neutral
1512,admiration
1513,admiration
1514,gratitude
1515,approval
1516,excitement
1517,neutral
1518,admiration
1519,neutral
1520,curiosity
1521,admiration
1522,confusion
1523,neutral
1524,neutral
1525,approval
1526,neutral
1527,approval
1528,approval
1529,fear
1530,joy
1531,neutral
1532,admiration
1533,approval
1534,realization
1535,gratitude
1536,realization
1537,confusion
1538,curiosity
1539,neutral
1540,neutral
1541,neutral
1542,neutral
1543,admiration
1544,neutral
1545,neutral
1546,admiration
1547,neutral
1548,fear
1549,admiration
1550,neutral
1551,admiration
1552,optimism
1553,neutral
1554,admiration
1555,admiration
1556,excitement
1557,neutral
1558,admiration
1559,approval
1560,neutral
1561,neutral
1562,neutral
1563,neutral
1564,neutral
1565,confusion
1566,excitement
1567,neutral
1568,approval
1569,neutral
1570,gratitude
1571,admiration
1572,neutral
1573,realization
1574,confusion
1575,admiration
1576,neutral
1577,admiration
1578,disappointment
1579,love
1580,neutral
1581,amusement
1582,neutral
1583,optimism
1584,admiration
1585,neutral
1586,admiration
1587,admiration
1588,joy
1589,surprise
1590,neutral
1591,approval
1592,admiration
1593,surprise
1594,disappointment
1595,approval
1596,approval
1597,neutral
1598,admiration
1599,neutral
1600,approval
1601,neutral
1602,neutral
1603,surprise
1604,curiosity
1605,realization
1606,neutral
1607,neutral
1608,neutral
1609,neutral
1610,admiration
1611,annoyance
1612,neutral
1613,neutral
1614,neutral
1615,admiration
1616,excitement
1617,surprise
1618,neutral
1619,admiration
1620,neutral
1621,neutral
1622,curiosity
1623,neutral
1624,joy
1625,confusion
1626,surprise
1627,excitement
1628,neutral
1629,neutral
1630,neutral
1631,neutral
1632,neutral
1633,neutral
1634,admiration
1635,approval
1636,curiosity
1637,admiration
1638,neutral
1639,curiosity
1640,admiration
1641,neutral
1642,admiration
1643,neutral
1644,approval
1645,approval
1646,neutral
1647,neutral
1648,neutral
1649,neutral
1650,neutral
1651,disapproval
1652,approval
1653,remorse
1654,realization
1655,admiration
1656,desire
1657,desire
1658,neutral
1659,neutral
1660,approval
1661,amusement
1662,approval
1663,admiration
1664,admiration
1665,excitement
1666,amusement
1667,neutral
1668,neutral
1669,admiration
1670,admiration
1671,neutral
1672,approval
1673,excitement
1674,admiration
1675,neutral
1676,neutral
1677,approval
1678,amusement
1679,neutral
1680,neutral
1681,realization
1682,curiosity
1683,neutral
1684,curiosity
1685,neutral
1686,curiosity
1687,curiosity
1688,excitement
1689,curiosity
1690,surprise
1691,approval
1692,admiration
1693,neutral
1694,neutral
1695,approval
1696,excitement
1697,neutral
1698,desire
1699,curiosity
1700,confusion
1701,disapproval
1702,gratitude
1703,curiosity
1704,gratitude
1705,admiration
1706,neutral
1707,optimism
1708,neutral
1709,admiration
1710,neutral
1711,neutral
1712,realization
1713,neutral
1714,surprise
1715,realization
1716,neutral
1717,neutral
1718,optimism
1719,neutral
1720,neutral
1721,approval
1722,optimism
1723,annoyance
1724,joy
1725,admiration
1726,approval
1727,approval
1728,neutral
1729,annoyance
1730,admiration
1731,admiration
1732,joy
1733,neutral
1734,joy
1735,neutral
1736,caring
1737,curiosity
1738,amusement
1739,approval
1740,neutral
1741,surprise
1742,disapproval
1743,neutral
1744,optimism
1745,admiration
1746,neutral
1747,amusement
1748,surprise
1749,fear
1750,surprise
1751,neutral
1752,admiration
1753,neutral
1754,neutral
1755,curiosity
1756,realization
1757,admiration
1758,neutral
1759,curiosity
1760,approval
1761,curiosity
1762,neutral
1763,disapproval
1764,approval
1765,curiosity
1766,curiosity
1767,neutral
1768,admiration
1769,caring
1770,admiration
1771,neutral
1772,neutral
1773,admiration
1774,neutral
1775,approval
1776,admiration
1777,realization
1778,disapproval
1779,realization
1780,admiration
1781,curiosity
1782,approval
1783,admiration
1784,approval
1785,realization
1786,optimism
1787,joy
1788,excitement
1789,neutral
1790,realization
1791,neutral
1792,realization
1793,realization
1794,disapproval
1795,disapproval
1796,approval
1797,admiration
1798,admiration
1799,neutral
1800,admiration
1801,realization
1802,neutral
1803,admiration
1804,realization
1805,neutral
1806,neutral
1807,admiration
1808,approval
1809,neutral
1810,neutral
1811,excitement
1812,neutral
1813,neutral
1814,realization
1815,neutral
1816,caring
1817,anger
1818,excitement
1819,approval
1820,neutral
1821,admiration
1822,desire
1823,curiosity
1824,neutral
1825,neutral
1826,excitement
1827,admiration
1828,realization
1829,neutral
1830,approval
1831,neutral
1832,admiration
1833,neutral
1834,approval
1835,confusion
1836,approval
1837,curiosity
1838,neutral
1839,approval
1840,joy
1841,disappointment
1842,disappointment
1843,confusion
1844,confusion
1845,realization
1846,approval
1847,neutral
1848,curiosity
1849,annoyance
1850,curiosity
1851,approval
1852,neutral
1853,annoyance
1854,curiosity
1855,admiration
1856,admiration
1857,neutral
1858,neutral
1859,excitement
1860,realization
1861,approval
1862,neutral
1863,joy
1864,neutral
1865,neutral
1866,neutral
1867,neutral
1868,admiration
1869,realization
1870,neutral
1871,neutral
1872,curiosity
1873,neutral
1874,neutral
1875,fear
1876,curiosity
1877,curiosity
1878,neutral
1879,realization
1880,admiration
1881,neutral
1882,neutral
1883,gratitude
1884,realization
1885,neutral
1886,caring
1887,approval
1888,neutral
1889,excitement
1890,neutral
1891,neutral
1892,neutral
1893,neutral
1894,neutral
1895,realization
1896,curiosity
1897,neutral
1898,neutral
1899,curiosity
1900,admiration
1901,curiosity
1902,approval
1903,gratitude
1904,gratitude
1905,neutral
1906,realization
1907,neutral
1908,neutral
1909,curiosity
1910,approval
1911,admiration
1912,admiration
1913,surprise
1914,excitement
1915,neutral
1916,remorse
1917,neutral
1918,approval
1919,neutral
1920,neutral
1921,realization
1922,realization
1923,admiration
1924,joy
1925,neutral
1926,fear
1927,realization
1928,neutral
1929,neutral
1930,neutral
1931,confusion
1932,neutral
1933,curiosity
1934,approval
1935,gratitude
1936,curiosity
1937,neutral
1938,disapproval
1939,love
1940,curiosity
1941,annoyance
1942,neutral
1943,admiration
1944,neutral
1945,neutral
1946,neutral
1947,neutral
1948,disapproval
1949,neutral
1950,neutral
1951,neutral
1952,neutral
1953,realization
1954,realization
1955,fear
1956,neutral
1957,approval
1958,realization
1959,neutral
1960,neutral
1961,confusion
1962,neutral
1963,neutral
1964,disapproval
1965,gratitude
1966,neutral
1967,neutral
1968,neutral
1969,admiration
1970,optimism
1971,curiosity
1972,approval
1973,disapproval
1974,approval
1975,neutral
1976,neutral
1977,neutral
1978,approval
1979,desire
1980,joy
1981,realization
1982,desire
1983,approval
1984,admiration
1985,admiration
1986,neutral
1987,gratitude
1988,surprise
1989,neutral
1990,neutral
1991,fear
1992,surprise
1993,gratitude
1994,neutral
1995,confusion
1996,annoyance
1997,excitement
1998,annoyance
1999,realization
2000,realization
2001,realization
2002,surprise
2003,admiration
2004,neutral
2005,neutral
2006,realization
2007,caring
2008,curiosity
2009,curiosity
2010,neutral
2011,neutral
2012,approval
2013,neutral
2014,pride
2015,neutral
2016,curiosity
2017,admiration
2018,curiosity
2019,love
2020,neutral
2021,love
2022,desire
2023,realization
2024,sadness
2025,excitement
2026,disapproval
2027,curiosity
2028,surprise
2029,excitement
2030,admiration
2031,curiosity
2032,neutral
2033,neutral
2034,confusion
2035,neutral
2036,neutral
2037,neutral
2038,neutral
2039,approval
2040,neutral
2041,admiration
2042,surprise
2043,neutral
2044,admiration
2045,neutral
2046,realization
2047,neutral
2048,realization
2049,neutral
2050,excitement
2051,gratitude
2052,surprise
2053,optimism
2054,neutral
2055,admiration
2056,neutral
2057,admiration
2058,anger
2059,realization
2060,love
2061,neutral
2062,optimism
2063,amusement
2064,approval
2065,admiration
2066,realization
2067,approval
2068,approval
2069,admiration
2070,admiration
2071,amusement
2072,optimism
2073,neutral
2074,approval
2075,neutral
2076,neutral
2077,optimism
2078,surprise
2079,excitement
2080,approval
2081,admiration
2082,disapproval
2083,neutral
2084,neutral
2085,love
2086,neutral
2087,admiration
2088,admiration
2089,disapproval
2090,excitement
2091,confusion
2092,neutral
2093,neutral
2094,neutral
2095,realization
2096,desire
2097,amusement
2098,neutral
2099,love
2100,disapproval
2101,curiosity
2102,admiration
2103,neutral
2104,confusion
2105,amusement
2106,realization
2107,approval
2108,admiration
2109,surprise
2110,neutral
2111,joy
2112,admiration
2113,neutral
2114,desire
2115,neutral
2116,annoyance
2117,neutral
2118,realization
2119,neutral
2120,neutral
2121,optimism
2122,approval
2123,neutral
2124,excitement
2125,neutral
2126,neutral
2127,disappointment
2128,confusion
2129,excitement
2130,curiosity
2131,curiosity
2132,realization
2133,curiosity
2134,desire
2135,neutral
2136,nervousness
2137,realization
2138,approval
2139,neutral
2140,curiosity
2141,realization
2142,approval
2143,approval
2144,optimism
2145,approval
2146,admiration
2147,admiration
2148,curiosity
2149,neutral
2150,neutral
2151,admiration
2152,realization
2153,amusement
2154,realization
2155,approval
2156,curiosity
2157,neutral
2158,optimism
2159,neutral
2160,optimism
2161,admiration
2162,amusement
2163,admiration
2164,gratitude
2165,admiration
2166,caring
2167,neutral
2168,amusement
2169,approval
2170,optimism
2171,joy
2172,love
2173,neutral
2174,admiration
2175,neutral
2176,admiration
